id,type,difficulty,question,options,correct_answer,explanation
la_q1,mcq,hard,"For a discrete dynamical system $x_{k+1}=Ax_{k}$, if A has eigenvalues $\lambda_1, ..., \lambda_n$ and corresponding eigenvectors $v_1, ..., v_n$, and $|\lambda_1| > |\lambda_2| \geq ... \geq |\lambda_n|$, what is the long-term behavior of $x_k$ if $x_0$ is not a multiple of $v_1$?", "Converges to $v_1$ if $c_1 \neq 0$ and $|\lambda_1| = 1$.|Converges to 0 if all $|\lambda_i| < 1$.|Tends to grow in the direction of $v_1$ if $|\lambda_1| > 1$.|Oscillates if any eigenvalue is negative.",2,"If the largest eigenvalue in magnitude, $|\lambda_1|$, is greater than 1, and the initial vector $x_0$ has a non-zero component $c_1$ in the direction of $v_1$, then $x_k$ will tend to grow primarily in the direction of $v_1$. The formula $x_k=c_1(\lambda_1)^k v_1 + ... + c_n(\lambda_n)^k v_n$ shows that the term with the largest magnitude eigenvalue dominates as k approaches infinity."
la_q2,true_false,hard,"If the origin is a saddle point of a dynamical system $x_{k+1}=Ax_{k}$, it implies that all trajectories tend away from 0.",,false,"False. If the origin is a saddle point, some trajectories tend away from 0 (corresponding to eigenvalues with magnitude > 1) and some tend toward 0 (corresponding to eigenvalues with magnitude < 1)."
la_q3,drag_drop,hard,"Match the dynamical system behavior with the condition on eigenvalues.","drag1:Attractor|drag2:Repeller|drag3:Saddle Point;drop1:All eigenvalues have magnitude < 1.|drop2:All eigenvalues have magnitude > 1.|drop3:Some eigenvalues have magnitude > 1, and some have magnitude < 1.;drag1:drop1|drag2:drop2|drag3:drop3","","An attractor means all trajectories tend towards 0, which happens when all eigenvalues have magnitude < 1. A repeller means all trajectories tend away from 0, when all eigenvalues have magnitude > 1. A saddle point implies some tend away and some tend towards 0, hence eigenvalues both >1 and <1 in magnitude."
la_q4,mcq,hard,"Given a matrix A with eigenvalues 2 and 0.5, and corresponding eigenvectors $v_1=[1,0]^T$ and $v_2=[0,1]^T$. If $x_0 = [2, 1]^T$, what happens to $x_k$ as $k \rightarrow \infty$?", "It tends to the zero vector.|It tends to infinity along the $x_2$-axis.|It tends to infinity along the $x_1$-axis.|It oscillates around the origin.",2,"The solution is $x_k = c_1 2^k v_1 + c_2 (0.5)^k v_2$. As $k \rightarrow \infty$, the term $c_2 (0.5)^k v_2$ approaches zero, while the term $c_1 2^k v_1$ grows indefinitely. Since $x_0 = [2,1]^T = 2v_1 + 1v_2$, $c_1=2 \neq 0$. Thus, $x_k$ tends to infinity along the direction of $v_1$, which is the $x_1$-axis."
la_q5,true_false,hard,"The characteristic equation of an $n \times n$ matrix A is given by $A - \lambda I = 0$.",,false,"False. The characteristic equation is given by $|A - \lambda I| = 0$, where the determinant of the matrix $(A - \lambda I)$ is set to zero, not the matrix itself."
la_q6,mcq,hard,"If A is an $n \times n$ matrix and $\lambda$ is an eigenvalue of A, the set of all eigenvectors corresponding to $\lambda$, together with the zero vector, forms what is called the:", "Row space of A.|Column space of A.|Null space of A.|Eigenspace of $\lambda$.",3,"The set of all eigenvectors corresponding to an eigenvalue $\lambda$, combined with the zero vector, forms a subspace called the eigenspace of $\lambda$. This is equivalent to the null space of the matrix $(A - \lambda I)$."
la_q7,drag_drop,hard,"Match the condition for diagonalizability with its corresponding definition.","drag1:A is diagonalizable if...|drag2:A has n distinct eigenvalues then...;drop1:...it is similar to a diagonal matrix.|drop2:...A is diagonalizable.;drag1:drop1|drag2:drop2","","A matrix A is diagonalizable if it is similar to a diagonal matrix ($A = PDP^{-1}$). A sufficient, but not necessary, condition for diagonalizability is that if A has n distinct eigenvalues, then it is diagonalizable."
la_q8,mcq,hard,"If matrices A and B are similar ($P^{-1}AP=B$), which of the following properties do they NOT necessarily share?", "Same eigenvalues.|Same determinant.|Same trace.|Same eigenvectors.",3,"Similar matrices share the same eigenvalues, determinant, and trace. However, they do not necessarily share the same eigenvectors. The eigenvectors of B are $P^{-1}$ times the eigenvectors of A."
la_q9,true_false,hard,"A matrix A is diagonalizable if and only if it has $n$ linearly independent eigenvectors.",,true,"True. This is the core Diagonalization Theorem. An $n \times n$ matrix A is diagonalizable if and only if there is a basis of $\mathbb{R}^n$ consisting of eigenvectors of A, which implies having n linearly independent eigenvectors."
la_q10,mcq,hard,"If A is a diagonalizable matrix such that $A=PDP^{-1}$, then $A^k$ can be computed as:", "$P^{-1}D^kP$|$PD^kP^{-1}$|$P^{-1}DP^k$|$D^kP^{-1}P$",1,"If A is diagonalizable with $A=PDP^{-1}$, then $A^k = (PDP^{-1})(PDP^{-1})...(PDP^{-1}) = PD(P^{-1}P)D(P^{-1}P)...DP^{-1} = PD^kP^{-1}$. This simplifies the computation of matrix powers significantly."
